n,cc,y,r,rat,f,d
StepFun,CHN,2023,variant,Chinese geo variant training Step series large language and multimodal models with API and consumer offerings.,ai_ml_platform__foundation_model_api,stepfun.com
Stability AI,GBR,2019,edge_case,"UK company that trains StableLM language models alongside its image models and offers them via API, though primarily known for image generation.",ai_ml_platform__foundation_model_api,stability.ai
Affirm,USA,2012,variant,US-based BNPL provider offering merchant-integrated installment payments at online checkout with major retailers like Amazon and Shopify merchants.,bnpl_consumer_credit__merchant_checkout_bnpl,affirm.com
Scalapay,ITA,2019,variant,Italian BNPL provider offering pay-in-3/4 interest-free installment options integrated at merchant checkout across Southern Europe.,bnpl_consumer_credit__merchant_checkout_bnpl,scalapay.com
Tabby,SAU,2019,variant,Saudi Arabia-based BNPL provider offering merchant-integrated installment payments at checkout across the Middle East and North Africa.,bnpl_consumer_credit__merchant_checkout_bnpl,tabby.ai
Paidy,JPN,2008,variant,"Japanese BNPL provider enabling cardless installment purchases integrated at merchant online checkout, the Klarna model adapted for Japan.",bnpl_consumer_credit__merchant_checkout_bnpl,paidy.com
Sezzle,USA,2016,variant,US-based BNPL provider offering pay-in-4 interest-free installment plans integrated at merchant e-commerce checkout.,bnpl_consumer_credit__merchant_checkout_bnpl,sezzle.com
Tamara,SAU,2020,variant,Saudi Arabia-based BNPL provider offering split-payment installment options at merchant checkout across MENA markets.,bnpl_consumer_credit__merchant_checkout_bnpl,tamara.com
Akulaku Group,IDN,2016,variant,Indonesian BNPL and digital finance platform offering installment payment options integrated at e-commerce merchant checkouts across Southeast Asia.,bnpl_consumer_credit__merchant_checkout_bnpl,akulaku.com
Advance Intelligence Group,SGP,2016,variant,"Advance Intelligence Group operates Atome, a prominent merchant-integrated BNPL service across Southeast Asia that lets consumers split purchases into interest-free installments at checkout, closely replicating the Klarna playbook.",bnpl_consumer_credit__merchant_checkout_bnpl,advancegroup.com
Zilch,GBR,2018,edge_case,"UK-based BNPL provider offering pay-over-time installment options with merchant integration, though differentiated by an ad-subsidized direct-to-consumer model.",bnpl_consumer_credit__merchant_checkout_bnpl,zilch.com
Kredivo Group,SGP,2015,edge_case,Singapore-headquartered provider offering instant BNPL credit at e-commerce checkout in Indonesia through integrations with major marketplace platforms.,bnpl_consumer_credit__merchant_checkout_bnpl,kredivocorp.com
Sunbit,USA,2016,edge_case,"US-based point-of-sale BNPL provider integrating at service-merchant checkouts (auto, dental, optical) to offer consumers installment payments with proprietary underwriting.",bnpl_consumer_credit__merchant_checkout_bnpl,sunbit.com
Razorpay,IND,2014,variant,"Stripe for India — developer-first API payment gateway adapted for Indian payment methods (UPI, wallets, net banking) and local regulations.",fintech_payments__api_payment_gateway,razorpay.com
Paystack,NGA,2015,variant,"Stripe for Nigeria/Africa — API-first payment gateway enabling African businesses to accept online payments with local payment method coverage.",fintech_payments__api_payment_gateway,paystack.com
Xendit,IDN,2014,variant,"Stripe for Indonesia/Southeast Asia — developer-friendly API payment platform covering local payment methods like bank transfers and e-wallets.",fintech_payments__api_payment_gateway,xendit.co
Flutterwave,USA,2016,variant,API payment gateway for African markets enabling businesses to accept payments across multiple African countries via developer-friendly APIs.,fintech_payments__api_payment_gateway,flutterwave.com
Kushki,ECU,2017,variant,"Stripe for Latin America — integrated API payments platform supporting local payment methods across multiple LatAm countries.",fintech_payments__api_payment_gateway,kushki.com
Rapyd,GBR,2016,variant,Global API-first payments platform that aggregates and simplifies local payment methods across many geographies for developer integration.,fintech_payments__api_payment_gateway,rapyd.net
dLocal,URY,2016,edge_case,"API payment gateway specializing in enabling cross-border merchants to accept and send payments across emerging markets in Africa, Asia, and Latin America.",fintech_payments__api_payment_gateway,dlocal.com
Airwallex,SGP,2015,edge_case,"Offers API-based online payment acceptance alongside its primary cross-border treasury product, fitting the model partially for global internet businesses.",fintech_payments__api_payment_gateway,airwallex.com
GoCardless,GBR,2011,edge_case,"Developer-first API platform for collecting bank-to-bank (direct debit) payments, applying the Stripe-like developer experience to recurring bank payment collection.",fintech_payments__api_payment_gateway,gocardless.com
iZettle,SWE,2010,variant,"iZettle pioneered the Square-like mPOS card reader and app model for small businesses across Europe, starting in Sweden.",fintech_payments__mpos_smb_card_acceptance,zettle.com
SumUp,GBR,2011,variant,SumUp provides affordable mobile card readers with simple pricing for micro and small merchants across Europe and beyond.,fintech_payments__mpos_smb_card_acceptance,sumup.co.uk
Clip,MEX,2012,variant,Clip is the leading mPOS card reader and digital payments platform enabling small merchants in Mexico to accept card payments.,fintech_payments__mpos_smb_card_acceptance,clip.mx
Flatpay,DNK,2022,variant,"Flatpay provides POS terminals and payment processing to SMB merchants in Denmark with flat-rate pricing, replicating the Square model.",fintech_payments__mpos_smb_card_acceptance,flatpay.com
CloudWalk,BRA,2013,variant,"CloudWalk provides smart POS payment terminals to small and micro-merchants in Brazil, enabling card acceptance in a cash-heavy market.",fintech_payments__mpos_smb_card_acceptance,cloudwalk.io
Teya,GBR,2019,variant,"Teya (formerly Saltpay) provides affordable card payment terminals and business tools to SMBs in Europe with fair, simplified pricing.",fintech_payments__mpos_smb_card_acceptance,teya.com
Mercado Pago,BRA,2004,edge_case,"Mercado Pago offers mPOS card readers (Point) with flat-rate pricing for small merchants across Latin America, directly replicating the Square model.",fintech_payments__mpos_smb_card_acceptance,mercadopago.com.br
Viva Wallet,GRC,2010,edge_case,Viva Wallet offers cloud-based card acceptance terminals for SMBs in Southern Europe with simplified onboarding and competitive pricing.,fintech_payments__mpos_smb_card_acceptance,vivawallet.com
Moniepoint,GBR,2015,edge_case,"Moniepoint distributes POS terminals to merchants and agents in Nigeria, enabling card and digital payment acceptance for previously cash-only businesses.",fintech_payments__mpos_smb_card_acceptance,moniepoint.com
OPay,NGA,2018,edge_case,"OPay deploys POS terminals to agents and small merchants in Nigeria to enable digital payment acceptance, though it also functions as a broader fintech super-app.",fintech_payments__mpos_smb_card_acceptance,opayweb.com
BigBasket,IND,2011,variant,"India's leading 1P online supermarket operating its own warehouses with scheduled delivery across time windows, a direct FreshDirect-for-India analog.",quick_commerce__scheduled_online_grocery_retailer,bigbasket.com
Rohlik,CZE,2014,variant,Czech online grocery retailer with own warehouses and scheduled same-day/next-day delivery windows across Central Europe.,quick_commerce__scheduled_online_grocery_retailer,rohlik.group
Oda,NOR,2013,variant,"Norwegian online grocery retailer with centralized fulfillment and scheduled door-to-door delivery, the FreshDirect model for Scandinavia.",quick_commerce__scheduled_online_grocery_retailer,oda.com
Picnic,NLD,2015,variant,"Dutch online grocer with 1P inventory, centralized fulfillment, and scheduled time-window delivery via electric vans.",quick_commerce__scheduled_online_grocery_retailer,picnic.app
Market Kurly,KOR,2015,variant,South Korean 1P online grocery retailer with its own fulfillment centers and overnight/next-day scheduled delivery (dawn delivery).,quick_commerce__scheduled_online_grocery_retailer,kurly.com
Benlai,CHN,2012,variant,"Chinese fresh produce e-commerce platform operating 1P inventory from regional warehouses with scheduled delivery, a known example in this playbook.",quick_commerce__scheduled_online_grocery_retailer,benlai.com
Yiguo.com,CHN,2005,variant,"One of China's earliest fresh food e-commerce platforms selling from own cold-chain warehouses with scheduled delivery, replicating the FreshDirect model for China.",quick_commerce__scheduled_online_grocery_retailer,yiguo.com
Licious,IND,2015,edge_case,Indian online meat and seafood retailer with end-to-end 1P supply chain and scheduled delivery; fits as a niche specialty variant though limited to a single fresh-food subcategory.,quick_commerce__scheduled_online_grocery_retailer,licious.in
Bitso,MEX,2014,variant,Bitso is Mexico's leading regulated retail crypto exchange offering local-currency (MXN) fiat on/off-ramps via domestic banking integration.,crypto__regulated_retail_cex,bitso.com
CoinDCX,IND,2018,variant,"CoinDCX is an India-focused regulated retail crypto exchange with INR fiat rails and local KYC, serving mainstream Indian crypto investors.",crypto__regulated_retail_cex,coindcx.com
Dunamu,KOR,2012,variant,"Dunamu operates Upbit, South Korea's dominant regulated retail crypto exchange with KRW fiat on-ramps and local VASP registration.",crypto__regulated_retail_cex,dunamu.com
CoinSwitch,IND,2017,variant,"CoinSwitch is an India-focused retail crypto exchange platform with INR on-ramps and local regulatory compliance, directly competing with CoinDCX.",crypto__regulated_retail_cex,coinswitch.co
Rain,BHR,2017,variant,Rain is a Bahrain-licensed regulated retail crypto exchange serving MENA markets with local fiat currency on/off-ramps and domestic banking partnerships.,crypto__regulated_retail_cex,rain.com
2TM,BRA,2013,variant,"2TM is the parent company of Mercado Bitcoin, Brazil's leading regulated retail crypto exchange with BRL fiat rails and local licensing.",crypto__regulated_retail_cex,2tmgroup.com
Liquid Global,JPN,2014,variant,"Liquid Global is a Japan-based JFSA-licensed retail crypto exchange with JPY fiat rails, serving mainstream Japanese crypto investors.",crypto__regulated_retail_cex,liquid.com
HashKey,JPN,2018,edge_case,"HashKey Group operates a licensed retail virtual asset exchange in Hong Kong under SFC regulation, though the parent group spans broader financial services and consulting.",crypto__regulated_retail_cex,hashkey.com
Freetrade,GBR,2016,variant,"Commission-free self-directed stock and ETF trading platform targeting UK retail investors with a premium subscription tier — Robinhood for the UK.",fintech_neobanking__commission_free_retail_brokerage,freetrade.io
Trade Republic,DEU,2015,variant,"Mobile-first commission-free brokerage offering stocks, ETFs, and crypto to European retail investors — Robinhood for Germany/Europe.",fintech_neobanking__commission_free_retail_brokerage,traderepublic.com
Ajaib,IDN,2019,variant,"Mobile-first zero-commission stock and mutual fund trading app targeting first-time retail investors in Indonesia — Robinhood for Indonesia.",fintech_neobanking__commission_free_retail_brokerage,ajaib.co.id
Groww,IND,2016,variant,"Mobile-first commission-free platform for stocks, mutual funds, and ETFs targeting young Indian retail investors — Robinhood for India.",fintech_neobanking__commission_free_retail_brokerage,groww.in
Tiger Brokers,SGP,2014,edge_case,Mobile-first online brokerage offering low-cost stock and ETF trading to retail investors across Singapore and other Asian markets.,fintech_neobanking__commission_free_retail_brokerage,itiger.com
CoinSwitch,IND,2017,edge_case,"Indian mobile-first investment app (CoinSwitch Kuber) targeting first-time retail investors with simplified crypto and stock trading UX, positioning similar to known examples Groww and Zerodha, though primarily described as a crypto exchange and revenue model relies on spread markup rather than PFOF",fintech_neobanking__commission_free_retail_brokerage,coinswitch.co
Udaan,IND,2016,variant,"Udaan is a horizontal eB2B marketplace in India connecting retailers, wholesalers, and manufacturers across multiple product categories for bulk trade — a direct Alibaba.com-for-India model.",ecommerce_horizontal__b2b_horizontal_marketplace,udaan.com
Moglix,SGP,2015,variant,"Moglix is a B2B online marketplace aggregating manufacturers and distributors of industrial and business supplies across multiple categories for business buyers, directly replicating the Alibaba.com horizontal B2B marketplace playbook in Asia.",ecommerce_horizontal__b2b_horizontal_marketplace,moglix.com
Jumbotail,IND,2015,variant,"Full-stack B2B e-commerce marketplace connecting food and grocery manufacturers/distributors with kirana/SMB retailers in India for bulk purchasing, directly matching the in-scope criterion of B2B platforms targeting kirana/corner stores.",ecommerce_horizontal__b2b_horizontal_marketplace,jumbotail.com
Infra.Market,IND,2016,edge_case,"Indian B2B e-commerce platform aggregating construction-material manufacturers and distributors for business buyers across multiple product categories (cement, steel, pipes, electricals, etc.), operating a marketplace mechanism analogous to Udaan though concentrated on the construction vertical.",ecommerce_horizontal__b2b_horizontal_marketplace,infra.market
Tridge,KOR,2015,edge_case,"B2B trade platform matching global food and agriculture buyers with sellers across many sub-categories, functioning as a cross-border wholesale marketplace though concentrated in a single broad sector.",ecommerce_horizontal__b2b_horizontal_marketplace,tridge.com
Zetwerk,IND,2018,edge_case,"Zetwerk explicitly operates a B2B marketplace connecting business buyers with manufacturers across multiple manufacturing categories (metals, textiles, electronics), though its emphasis on custom/contract manufacturing rather than wholesale catalog purchasing makes it a borderline fit.",ecommerce_horizontal__b2b_horizontal_marketplace,zetwerk.com
Grubhub,USA,2004,variant,"Classic US restaurant food delivery marketplace aggregating local restaurant supply for consumer ordering and delivery, a known example in the playbook.",food_delivery_restaurant__marketplace,grubhub.com
Delivery Hero,DEU,2011,variant,Germany-headquartered global food delivery marketplace operating in dozens of countries with commission-based restaurant aggregation model.,food_delivery_restaurant__marketplace,deliveryhero.com
iFood,BRA,2011,variant,"Brazil's dominant restaurant food ordering and delivery marketplace connecting consumers with restaurants, a known example in the playbook.",food_delivery_restaurant__marketplace,ifood.com.br
Swiggy,IND,2014,variant,"India's leading food delivery marketplace connecting consumers with restaurants via app with managed courier logistics, a known example.",food_delivery_restaurant__marketplace,swiggy.com
Foodpanda,DEU,2012,variant,"Online food delivery marketplace enabling users to order from local restaurants via app/web, operating across Asia and other regions.",food_delivery_restaurant__marketplace,foodpanda.com
Woowa Bros,KOR,2011,variant,"Operator of Baedal Minjok (Baemin), South Korea's leading restaurant food delivery marketplace, a known example in the playbook.",food_delivery_restaurant__marketplace,woowahan.com
ELEME,CHN,2008,variant,China's major online food delivery marketplace (Alibaba-owned) connecting consumers with local restaurants via app with courier logistics.,food_delivery_restaurant__marketplace,ele.me
Kavak,MEX,2016,variant,"Kavak is the Carvana for Latin America (anchored in Mexico), acquiring, inspecting, and retailing used cars online with integrated financing and delivery.",auto_marketplace__fullstack_used_car_ecommerce,kavak.com
CARS24,IND,2015,variant,"CARS24 started as C2B in India and evolved into a full-stack used car retailer with inspection, pricing, financing, and home delivery for consumers.",auto_marketplace__fullstack_used_car_ecommerce,cars24.com
Spinny,IND,2015,variant,"Spinny is an Indian full-stack used car platform that buys, inspects, and sells pre-owned cars directly to consumers with transparent pricing and trust guarantees.",auto_marketplace__fullstack_used_car_ecommerce,spinny.com
Carsome,MYS,2015,variant,Carsome is a Southeast Asian full-stack used car e-commerce platform operating inspection centers and selling reconditioned cars with integrated financing in Malaysia.,auto_marketplace__fullstack_used_car_ecommerce,carsome.my
Carro,SGP,2015,variant,"Carro is a Singapore-based full-stack used car marketplace that holds inventory and offers integrated financing and insurance, replicating the Carvana model in Southeast Asia.",auto_marketplace__fullstack_used_car_ecommerce,carro.sg
Carsome Capital,MYS,2018,edge_case,"Carsome Capital is the financing and e-commerce arm of Carsome, supporting full-stack used car retail with buying, selling, and trading services.",auto_marketplace__fullstack_used_car_ecommerce,carsome.com
SellerX,DEU,2020,variant,"SellerX buys and builds Amazon FBA businesses in Germany/Europe, a clear Thrasio-for-Europe aggregator.",ecommerce_horizontal__fba_brand_aggregator,sellerx.com
Razor Group,DEU,2020,variant,"Razor Group is a Germany-based consumer holding company that acquires and scales e-commerce marketplace brands, directly replicating Thrasio's model.",ecommerce_horizontal__fba_brand_aggregator,razor-group.com
Una Brands,SGP,2020,variant,"Una Brands acquires e-commerce businesses from marketplace sellers across Asia-Pacific, operating as a Thrasio-for-APAC aggregator.",ecommerce_horizontal__fba_brand_aggregator,una-brands.com
GlobalBees,IND,2021,variant,"GlobalBees finds and scales existing product brands in India, operating the Thrasio acquire-and-operate aggregator model for the Indian market.",ecommerce_horizontal__fba_brand_aggregator,globalbees.com
Mensa Brands,IND,2021,variant,"Mensa Brands partners with and acquires digital-first brands in India to scale them, replicating the Thrasio aggregator model for Indian D2C brands.",ecommerce_horizontal__fba_brand_aggregator,mensabrands.com
Merama,MEX,2020,variant,"Merama acquires and scales digitally native brands across Latin America, applying the Thrasio acquire-and-operate playbook to the LatAm e-commerce market.",ecommerce_horizontal__fba_brand_aggregator,merama.io
Yiguo.com,CHN,2005,variant,"Former anchor, demoted in Phase 3b re-election. Original rationale: Yiguo is the anchor company—an online-first fresh food e-commerce platform in China with cold-chain delivery of produce, meat, and seafood.",ecom_vertical__fresh_food_ecommerce,yiguo.com
Benlai,CHN,2012,variant,Benlai is a known-example Chinese fresh produce e-commerce platform focused on premium farm-to-consumer perishable delivery with cold-chain logistics.,ecom_vertical__fresh_food_ecommerce,benlai.com
Missfresh,CHN,2014,variant,Missfresh is a known-example Chinese fresh food e-commerce platform operating distributed mini-warehouses for rapid cold-chain delivery of perishables to urban consumers.,ecom_vertical__fresh_food_ecommerce,missfresh.cn
Licious,IND,2015,variant,"Licious is a known-example online-first meat and seafood platform in India with end-to-end cold-chain control, replicating the Yiguo model for the Indian market.",ecom_vertical__fresh_food_ecommerce,licious.in
Dingdong Maicai,CHN,2017,variant,"Dingdong Maicai is a leading Chinese fresh vegetable and produce e-commerce platform with proprietary cold-chain fulfillment delivering perishable foods directly to urban consumers, directly replicating the Yiguo-like playbook.",ecom_vertical__fresh_food_ecommerce,100.me
Womai,CHN,2008,variant,"Womai is a known-example B2C healthy/fresh food shopping platform in China, directly competing with Yiguo in the same geography and mechanism.",ecom_vertical__fresh_food_ecommerce,womai.com
Market Kurly,KOR,2015,variant,"Market Kurly is a South Korean online-first fresh food e-commerce platform renowned for its proprietary cold-chain 'dawn delivery' logistics, specializing in fresh produce, meat, seafood, and dairy — a direct geo-variant of the Yiguo playbook.",ecom_vertical__fresh_food_ecommerce,kurly.com
Sky Mavis,SGP,2019,variant,"Sky Mavis built Axie Infinity, a play-to-earn blockchain game with NFT creatures and marketplace, replicating the Dapper Labs model from Singapore.",crypto__nft_blockchain_gaming,skymavis.com
Sorare,FRA,2018,variant,"Sorare is a French NFT-based fantasy football platform where users buy, trade, and play with officially licensed digital cards as NFTs.",crypto__nft_blockchain_gaming,sorare.com
Animoca Brands,HKG,2014,variant,Hong Kong-based Animoca Brands builds and publishes blockchain games and NFT digital collectible experiences with true digital ownership across multiple titles.,crypto__nft_blockchain_gaming,animocabrands.com
Mythical Games,USA,2018,variant,Mythical Games develops blockchain-based video games like Blankos Block Party where in-game items are player-owned NFTs tradeable on a marketplace.,crypto__nft_blockchain_gaming,mythicalgames.com
Candy Digital,USA,2021,variant,"Candy Digital is a US-based NFT digital collectibles platform offering officially licensed sports NFTs (MLB) that fans can buy and trade, fitting the sports collectibles variant.",crypto__nft_blockchain_gaming,candy.io
Immutable Systems,AUS,2018,edge_case,"Immutable built Gods Unchained (blockchain card game with NFT ownership) and a gaming-focused NFT platform, replicating the model from Australia.",crypto__nft_blockchain_gaming,immutable.com
Yuga Labs,USA,2021,edge_case,"Yuga Labs creates NFT digital collectibles (BAYC, CryptoPunks) and has expanded into blockchain gaming (Otherside), though its origins lean more toward PFP collectibles than gaming.",crypto__nft_blockchain_gaming,yuga.com
Getir,TUR,2015,variant,"Getir pioneered the same 1P-inventory dark-store rapid-delivery model in Turkey (2015) and later expanded to Europe, making it a textbook geographic clone.",quick_commerce__dark_store_instant_delivery,getir.com
Gorillas,DEU,2020,variant,"Gorillas operated company-owned dark stores in Germany and other European cities delivering groceries within 10 minutes, a direct Gopuff/Getir clone.",quick_commerce__dark_store_instant_delivery,gorillas.io
Flink,DEU,2020,variant,"Flink operates its own dark-store network in Germany promising 10-minute grocery delivery, a clear European geographic clone of the Gopuff model.",quick_commerce__dark_store_instant_delivery,goflink.com
blinkit,IND,2013,variant,"Blinkit (formerly Grofers) pivoted to a dark-store quick-commerce model in India delivering groceries and essentials within 10–20 minutes.",quick_commerce__dark_store_instant_delivery,blinkit.com
Zepto,IND,2021,variant,"Zepto operates a network of dark stores in Indian cities delivering groceries within 10 minutes, a direct Indian adaptation of the quick-commerce playbook.",quick_commerce__dark_store_instant_delivery,zeptonow.com
JOKR,LUX,2021,variant,"JOKR stocks 5k–10k SKUs in its own micro-fulfillment centers and delivers groceries within minutes, operating the Gopuff model primarily in Latin America.",quick_commerce__dark_store_instant_delivery,jokr.com
Ninja,SAU,2022,edge_case,"Ninja is a quick-commerce operator in Saudi Arabia delivering groceries and essentials rapidly, likely using dark stores, though its 'marketplace' descriptor introduces some uncertainty about 1P inventory ownership.",quick_commerce__dark_store_instant_delivery,ananinja.com
Personio,DEU,2015,variant,"Comprehensive cloud HR platform purpose-built for European SMEs with deep localization for German and EU labor/payroll regulations — a clear Workday-for-Europe play.",enterprise_saas_horizontal__cloud_hr_platform,personio.com
Darwinbox,IND,2015,variant,"End-to-end enterprise HR platform covering the full employee lifecycle, localized for Indian and Southeast Asian labor-law and statutory compliance.",enterprise_saas_horizontal__cloud_hr_platform,darwinbox.com
SmartHR,JPN,2013,variant,Cloud-native HR management platform built specifically for the Japanese market with localization for Japan's complex labor and social-insurance regulations.,enterprise_saas_horizontal__cloud_hr_platform,smarthr.co.jp
Beisen,CHN,2002,variant,"China-based talent management and HR platform providing localized HCM capabilities for Chinese enterprises — Workday for China.",enterprise_saas_horizontal__cloud_hr_platform,beisen.com
Factorial,ESP,2016,variant,"All-in-one HR platform automating payroll, time tracking, recruitment, and performance for European SMEs with strong Spanish and EU labor-law localization.",enterprise_saas_horizontal__cloud_hr_platform,factorialhr.com
Employment Hero,AUS,2014,variant,"Cloud-based HR, payroll, and benefits platform localized for Australian and regional employment regulations — Workday for Australia/ANZ SMEs.",enterprise_saas_horizontal__cloud_hr_platform,employmenthero.com
N26,DEU,2013,variant,"N26 is a known-example mobile-only consumer neobank in Germany/Europe offering fee-free accounts and debit cards, directly replicating the Chime model.",fintech_neobanking__consumer_neobank,n26.com
Monzo,GBR,2015,variant,Monzo is a known-example UK mobile-only neobank providing fee-free current accounts with debit cards and modern money-management tools.,fintech_neobanking__consumer_neobank,monzo.com
Lunar,DNK,2015,variant,Lunar is a known-example Danish mobile-only consumer neobank offering fee-free accounts and premium tiers in Scandinavia.,fintech_neobanking__consumer_neobank,lunar.app
"Ualá",ARG,2017,edge_case,"Ualá offers Argentine consumers a fee-free mobile banking app with a prepaid/debit Mastercard, replicating the Chime model in a moderately banked Latin American market.",fintech_neobanking__consumer_neobank,uala.com.ar
Neon,BRA,2016,edge_case,"Neon is a Brazilian digital bank offering checking accounts with debit cards, low/no fees, and lending products—an account-first consumer neobank distinct from the credit-card-first Nubank model.",fintech_neobanking__consumer_neobank,neon.com.br
C6 Bank,BRA,2018,edge_case,"C6 Bank is a Brazilian mobile-first digital bank offering checking accounts with debit cards and multiple financial products, broadly matching the consumer neobank mechanism.",fintech_neobanking__consumer_neobank,c6bank.com.br
Bird,USA,2017,variant,"Bird operates a dockless shared e-scooter and e-bike fleet across cities worldwide, adapting the ofo dockless model to electric scooters in the US and beyond.",micro_mobility__dockless_shared_fleet,bird.co
Lime,USA,2017,variant,Lime operates dockless shared e-bikes and e-scooters with per-ride/per-minute pricing via a mobile app across numerous cities globally.,micro_mobility__dockless_shared_fleet,li.me
TIER Mobility,DEU,2018,variant,"TIER Mobility operates a dockless shared e-scooter and e-bike fleet across European cities, replicating the ofo-like model for the European market.",micro_mobility__dockless_shared_fleet,tier.app
VOI Technology,SWE,2018,variant,"VOI operates dockless shared e-scooters and e-bikes in 150+ cities across Europe with per-ride monetization, a clear geo replication of the dockless fleet model.",micro_mobility__dockless_shared_fleet,voi.com
Beam,SGP,2018,variant,"Beam operates a dockless shared e-scooter rental fleet in Asia-Pacific markets, replicating the dockless micro-mobility model from a Singapore base.",micro_mobility__dockless_shared_fleet,ridebeam.com
Neuron Mobility,SGP,2016,variant,"Neuron Mobility operates rental e-scooter and e-bike fleets docklessly in cities across Asia-Pacific and Australia, fitting the shared fleet mechanism precisely.",micro_mobility__dockless_shared_fleet,rideneuron.com
58.com,CHN,2005,variant,"China's leading horizontal classifieds site covering goods, housing, jobs, and services—a direct Craigslist-for-China adaptation.",classifieds__horizontal_classifieds,58.com
Avito,RUS,2007,variant,"Russia's dominant multi-category classifieds platform for goods, real estate, jobs, and services, replicating the Craigslist model.",classifieds__horizontal_classifieds,avito.ru
Dubizzle Group,ARE,2015,variant,"Operates horizontal classifieds portals across MENA and emerging markets covering property, motors, jobs, and general goods.",classifieds__horizontal_classifieds,dubizzlegroup.com
Quikr,IND,2008,variant,"India's free horizontal classifieds platform spanning goods, services, jobs, housing, and vehicles—a clear Craigslist-for-India clone.",classifieds__horizontal_classifieds,quikr.com
Carousell Group,SGP,2012,edge_case,"Carousell Group now operates horizontal classifieds across Southeast Asia (including autos, property, and general goods) through acquisitions of traditional classifieds businesses, though its roots are more mobile-first.",classifieds__horizontal_classifieds,carousell.com
iQiyi,CHN,2010,variant,"iQiyi is China's leading SVOD platform with a massive licensed and original content library behind a subscription paywall, directly replicating the Netflix model for the Chinese market.",media_entertainment__svod_streaming,iq.com
Hotstar,IND,2000,variant,Hotstar (now Disney+ Hotstar) is India's dominant SVOD streaming platform offering a large multi-genre catalog of licensed and original content behind subscription and freemium tiers.,media_entertainment__svod_streaming,hotstar.com
Viu,HKG,2015,variant,"Viu is a subscription video streaming service operating across Hong Kong and Southeast Asia with licensed Asian drama and original content, replicating the Netflix model regionally.",media_entertainment__svod_streaming,viu.com
MUBI,GBR,2007,variant,MUBI is a curated global SVOD streaming service and production company offering a subscription-based catalog of hand-picked films.,media_entertainment__svod_streaming,mubi.com
Vidio,IDN,2014,variant,"Vidio is Indonesia's leading OTT video platform offering licensed and original long-form content behind a subscription paywall, serving as the Netflix equivalent for Indonesia.",media_entertainment__svod_streaming,vidio.com
Lashou.com,CHN,2010,variant,"A direct Groupon clone for China, operating a location-based social commerce platform selling curated local deals.",ecommerce_horizontal__daily_deals,lashou.com
Meituan,CHN,2010,variant,Originated as China's leading Groupon-style group-buying platform for local services before evolving into a broader local commerce super-app.,ecommerce_horizontal__daily_deals,meituan.com
Kingsoft Cloud,CHN,2012,variant,"Kingsoft Cloud is a leading Chinese public IaaS cloud provider offering compute, storage, and distribution services to businesses and developers in a market where US hyperscalers face regulatory barriers.",cloud_infra__iaas_cloud_platform,ksyun.com
QingCloud,CHN,2012,variant,"QingCloud explicitly provides IaaS-based flexible cloud services (compute, storage, networking) in China as a domestic alternative to AWS/Azure/GCP.",cloud_infra__iaas_cloud_platform,qingcloud.com
Personio,DEU,2015,variant,"Personio is a comprehensive cloud HR and payroll platform built specifically for European SMEs, deeply localized for German/EU labor and tax compliance.",hr_workforce__smb_cloud_hr_payroll,personio.com
PayFit,FRA,2015,variant,"PayFit automates payroll and HR processes for SMBs in France (and expanding in Europe), serving as a clear Gusto-for-France replicator with deep French payroll compliance.",hr_workforce__smb_cloud_hr_payroll,payfit.com
Employment Hero,AUS,2014,variant,"Employment Hero is an Australian cloud platform managing HR, payroll, and employee benefits for SMBs with deep Australian compliance integration.",hr_workforce__smb_cloud_hr_payroll,employmenthero.com
Factorial,ESP,2016,variant,"Factorial is a Spain-based cloud HR platform automating payroll, time tracking, and HR administration for European SMBs with localized compliance.",hr_workforce__smb_cloud_hr_payroll,factorialhr.com
SmartHR,JPN,2013,variant,"SmartHR is a cloud-native HR management platform for Japanese businesses, localizing social insurance, labor procedures, and payroll compliance for the Japanese market.",hr_workforce__smb_cloud_hr_payroll,smarthr.co.jp
Stori,MEX,2019,variant,"Stori explicitly replicates the Nubank playbook in Mexico, offering a no-fee credit card as the entry wedge for underserved consumers with limited credit history.",fintech_neobanking__emerging_market_card_neobank,storicard.com
Plata,MEX,2023,variant,"Plata provides a credit card with a rewards program in Mexico targeting underserved consumers, directly mirroring the Nubank card-first entry wedge.",fintech_neobanking__emerging_market_card_neobank,platacard.mx
"Ualá",ARG,2017,variant,"Ualá launched with a prepaid card as its entry product for underbanked Argentine consumers, then expanded into lending, investments, and insurance — a textbook Nubank-for-Argentina play.",fintech_neobanking__emerging_market_card_neobank,uala.com.ar
slice,IND,2016,variant,"slice entered India's underbanked market with a mobile-first credit card for young consumers and is now building a full-stack digital bank, replicating the Nubank mechanism.",fintech_neobanking__emerging_market_card_neobank,slicebank.com
FPL Technologies,IND,2019,variant,"FPL Technologies is building a mobile-first credit card from first principles for Indian consumers, using the card as the primary acquisition wedge in an underserved market.",fintech_neobanking__emerging_market_card_neobank,onescore.app
Udaan,IND,2016,variant,"India's leading eB2B platform connecting small retailers with wholesalers/manufacturers for FMCG and everyday goods, directly replicating the Huimin model.",b2b_marketplace__small_retailer_fmcg,udaan.com
Chiper,COL,2018,variant,"B2B e-commerce ecosystem purpose-built for corner stores in Latin America, providing FMCG sourcing, delivery, and credit—classic geo replication.",b2b_marketplace__small_retailer_fmcg,chiper.co
